"V1","V2"
"Ehd1","Nub1"
"Tecr","Hmox2"
"Tnfaip2","Parp14"
"Gmpr2","Luc7l2"
"1810063B05Rik","Sf3a3"
"Pld3","Polr2a"
"Clic1","1810013D10Rik"
"Pgd","Ptgr1"
"Stat5a","Rps3"
"Ube2l3","Skap2"
"Dennd4b","Plcl2"
"Poldip3","Cd44"
"Arrb2","Ilkap"
"Rps6ka4","Hpca"
"Ddx24","Hp"
"Csde1","Relb"
"Tardbp","Acap2"
"Bst1","Lamp2"
"Gm4902","Isg15"
"Pop1","Fam40a"
"Nr3c1","Pfkp"
"Opa1","H2afy"
"Vps37c","Prdx6"
"1600014C10Rik","Gmppb"
"Sh3pxd2b","Ndufs7"
"Arl6ip5","Sec22b"
"Rnpep","Akr7a5"
"Rasa1","H47"
"1810009A15Rik","Gcat"
"Mrps30","Nop10"
"Lgals3bp","Iws1"
"Akr7a5","Iws1"
"Gmds","Iws1"
"Mdp1","Iws1"
"Numb","Iws1"
"Mtx1","Gm962"
"Exosc6","Gm962"
"Gm962","Eif4enif1"
"Ero1lb","Gm962"
"Timm23","Gm962"
"Ccdc93","Aspscr1"
"Rfc3","Rpl15"
"Vps45","Fxr2"
"Eif3m","Comt"
"Ddi2","Gnpda1"
"Eif4b","Socs6"
"Palm","Eif1a"
"Fau","Nrbp1"
"Arf4","Txn1"
"Osgep","Bzw2"
"Rpl4","Kynu"
"Mrpl41","Rbmxrt"
"Psmd5","Tjp2"
"Svil","Ppfibp1"
"Lta4h","Etf1"
"Atpif1","S100a4"
"Lin7c","Akr1b3"
"Npepps","Khsrp"
"Nck1","Zbtb8os"
"Gbp5","Tapbp"
"2010305A19Rik","BC013712"
"Rpl36al","Trappc3"
"Prpf31","Abcf2"
"Cmpk2","Stat1"
"Rnf114","Kpna3"
"Kctd12","Aldoc"
"Polr2j","Srsf2"
"9030617O03Rik","Aldh1a2"
"mKIAA0676","Rbx1"
"Golga3","Rpl35a"
"Syk","AK011326"
"mKIAA1108","Gbe1"
"Rfc4","Sf3b1"
"Sh3bgrl","Avl9"
"Txnrd1","Avl9"
"2310014H01Rik","Aimp2"
"Pde2a","Npc1"
"Gnl1","Fkbp5"
"Itga5","Myo7a"
"Myo7a","Mapkapk3"
"Arrb1","Myo7a"
"Pcbp2","Trappc3"
"Ifi35","Fam129a"
"Akr1b10","Arhgef6"
"Acin1","Ranbp1"
"Baz1b","Emg1"
"Gm6635","Rasa4"
"Uba3","Atp5d"
"2310035C23Rik","Ociad1"
"Ccdc93","Lrrc47"
"Gnl1","Notch2"
"Ddx58","Gbp3"
"Ankrd57","Hnrnpd"
"4931406C07Rik","Dak"
"Mndal","Myd88"
"Sbds","Clic4"
"Mta2","Dennd3"
"Glul","Cd36"
"Ccdc93","Rpl12"
"Itgax","Inpp5d"
"Abcf3","Ythdf3"
"Snx5","S100a10"
"Wdr3","Tusc1"
"Rabggtb","Tusc1"
"Tusc1","Map2k6"
"Mta1","Pycr2"
"Diws1t","Aimp1"
"Parp14","Ddx24"
"Stat1","Itgb1"
"Tlr2","Oas1g"
"Psmc4","Fasn"
"Pdcd5","Eml4"
"Nbeal2","Snf8"
"Cul3","C230096C10Rik"
"Ifi205","Ddx24"
"Swap70","9630033F20Rik"
"Ddx17","mKIAA4150"
"Ccbl2","Hpca"
"Pdlim1","Pus7l"
"Pus7l","Ankib1"
"Cc2d1b","Acp2"
"Ldha","Taldo1"
"mKIAA0074","Pabpc4"
"Trim25","Sbds"
"BC002288","Igtp"
"Ddx58","Saa3"
"Nln","Timm44"
"Chmp4b","Scaf4"
"Scaf4","2410004B18Rik"
"Scaf4","Agtrap"
"Scaf4","Scamp2"
"Serpinb6a","Scaf4"
"Rab11fip2","Scaf4"
"Pttg1ip","Suv39h2"
"Bub3","Snrpc"
"Was","Nup153"
"Pacsin2","Thoc3"
"Aldh3a2","Dpy30"
"Gosr1","Endod1"
"Htatip2","Endod1"
"Endod1","Rap1a"
"Endod1","Eif4ebp1"
"Dhx58","Gbp2"
"Ifit2","Filip1l"
"Tnfrsf26","Sepx1"
"Ccdc88a","Fcho2"
"Ngp","CLM1-A"
"Hspa14","Nucb2"
"Brap","Coro1a"
"Hexim1","Ppp3ca"
"Hmga1","Stim1"
"Rps24","Hnrnpd"
"Hist1h1d","Acy1"
"Nmral1","Hrsp12"
"Rhbdf2","Eif1"
"Emg1","Plrg1"
"Ly75","Cd68"
"Lsm5","Adap1"
"Rab4b","Plcb3"
"Tank","Vim"
"Pld3","Cd97"
"Ddx5","Snw1"
"Col4a3bp","Psmd9"
"H2-Ke6","Zfp326"
"Syk","Mir684-1"
"Tmed10","Cd180"
"Dhx58","Flnb"
"Chmp4b","Gsk3b"
"mKIAA0136","Csde1"
"Zranb2","Rpl22"
"Ifi35","Snord96a"
"Parp4","Glud1"
"Tomm70a","Eif4a3"
"Ilf3","Ict1"
"Grpel1","Csl"
"Dnaja2","Osbpl3"
"Rgs10","Arhgap25"
"Tmed10","Arl3"
"Calu","Gdpd1"
"AK211593","Adrbk1"
"Hn1","Brpf1"
"Htatip2","Brpf1"
"Ptgs2","Ifit1"
"Ifit1","Mcat"
"Vps39","Dazap1"
"Dnaja1","Csde1"
"Sap30bp","Casp6"
"Psmc4","Tardbp"
"Lgals3","Skiv2l2"
"Clec4d","Gbp5"
"Sipa1","Sypl"
"Btk","Chordc1"
"Mrpl41","Rpl4"
"Parp14","Ifit3"
"Eif3m","Srm"
"Ifi205","Ddx24"
"Nampt","Psma5"
"Spnb2","Ethe1"
"Cpsf3","Prmt5"
"Rbmxrt","Tppp3"
"Dhfr","Psmd7"
"Cdc73","Psma5"
"1600014C10Rik","Dock8"
"Dmxl2","AK034420"
"Znfx1","Dr1"
"Hprt","Phf5a"
"Opa1","Aldh9a1"
"Bst2","Oas1g"
"Ap3d1","Atp5j"
"AK171687","1810037I17Rik"
"Zfp830","AK050838"
"Timm8b","Itgax"
"Gbp2","Sp110"
"Aldh1l1","Itsn2"
"Kif2a","Rpl27a"
"Il1b","Serpinb2"
"Lsm4","Snrpe"
"Arhgap25","Fam54b"
"Zfr","Nrbp1"
"Ugp2","Eml4"
"Pbrm1","Ccdc72"
"Emb","Acat1"
"Sh3pxd2b","Hars"
"Atp5c1","AK089379"
"Acsl1","Trafd1"
"Hspa8","AK185771"
"Edf1","1810063B05Rik"
"6-Sep","Ugp2"
"Prpf4b","Hn1l"
"Tsc22d4","Lamp1"
"Ptgs2","Xpo7"
"Sbds","Dbnl"
"Pyhin1","Cpeb4"
"Zbtb8os","Flna"
"Pfdn1","Kynu"
"Ube2v1","Nap1l4"
"Supt5h","Cct3"
"Mki67","Uprt"
"Mgst1","Ikbke"
"Ranbp1","Ctsz"
"Tomm70a","H2afz"
"Idh1","Psme3"
"Nudt2","Vps4a"
"Gnpda1","Neu1"
"Ankrd57","Pml"
"Rela","Aldh2"
"Gsdmd","Prdx5"
"Csrp1","Casp9"
"Trim25","Acp5"
"Ifih1","Oas1g"
"Tomm70a","Sptlc2"
"Dctn3","Idh1"
"Top2b","Ndufa8"
"Snx1","Syncrip"
"Gbp3","Oas1g"
"Hspa8","Rpl13a-ps1"
"Gbp5","Sp100"
"Clint1","Mthfr"
"Mthfr","Phrf1"
"Ap3m1","Atp5e"
"Actr3","Chmp1b"
"Ddx21","Pdia4"
"Hdgf","Dera"
"Plcb2","Eif3d"
"Nln","Dlat"
"Lemd2","Rabif"
"Cox4i1","Prkcb"
"Rpl37a","Ndufa12"
"mACS4","Ankle2"
"Hist1h1d","Fam195b"
"Serpinb6a","Map2k4"
"Serpinb6a","Nadk"
"Serpinb6a","Rpl30"
"Serpinb6a","Ppp4r2"
"Serpinb6a","Lonp1"
"Serpinb6a","Pmpca"
"Serpinb6a","Timm8a1"
"Nrd1","Cep170"
"Dner","Pnn"
"Dner","Ptpn1"
"Rnf213","Ly6c1"
"Itga5","Isg15"
"Mcmbp","Ly6c1"
"Pnkp","Ptbp1"
"Lcn2","Smad2"
"Prdx6","Pilra"
"Pilra","Ndufa3"
"Pilra","Vps53"
"Rcl1","Pilra"
"AK087295","Hp"
"Adap1","Blmh"
"Kctd12","Atp6v1e1"
"Il1b","Tnfrsf1b"
"Ilk","Plcg2"
"Ifi47","Marcksl1"
"Smek1","Tax1bp3"
"Mrpl46","Mrpl13"
"Ugp2","Psma1"
"Csde1","Eif5a2"
"Rpl4","Diap2"
"Malt1","Clic4"
"Slc3a2","Dck"
"Ezr","Hspa14"
"Abi1","Psmd9"
"Lepre1","Fech"
"Pelp1","Snx2"
"AK171687","AK188353"
"Mrpl41","Eml2"
"S100a4","Dkc1"
"Slc25a22","Ntpcr"
"Sep8","Lman1"
"Gbp2","Filip1l"
"Psme2","Rps26"
"Ptpn23","Tmem135"
"Tmem135","Anapc4"
"Tmem135","Clec7a"
"Ddt","AK183279"
"Rhoa","Stat5a"
"Lcn2","Ccdc50"
"Mapkapk3","Etfa"
"Aaas","Zadh2"
"Cpsf1","Ndufa5"
"Pgd","Ldha"
"Ndufv2","Mlxip"
"Slc25a11","Glg1"
"Nkap","Ugt1a10"
"Rpl4","Thop1"
"Syk","Arfgef1"
"Cltb","Mthfd1"
"Cd84","Ctss"
"Fermt3","Nt5c"
"Cpeb4","Znfx1"
"Gdi1","Mtmr9"
"Nub1","Cpne2"
"Qk","Luc7l2"
"Tpm3","Mea1"
"Glmn","Mea1"
"Rtn4","Hmgn1"
"BC002288","Sqstm1"
"Plxnd1","Rrs1"
"Rel","Osbpl3"
"Map2k3","Acot7"
"Txlna","Rab35"
"Wdr45l","B2m"
"Wdr45l","Jmjd6"
"Wdr45l","Lclat1"
"Mat2b","Parp3"
"Sash3","Hirip3"
"Slfn5","Marcksl1"
"Pfdn1","Thop1"
"Ifitm3","Tapbp"
"Kdm1a","Rbm12"
"Smpdl3b","Rab8B"
"Adss","Ero1l"
"Mogs","Dido1"
"Tuba1a","Tpra1"
"Rassf4","Fscn1"
"Lrch3","AK171687"
"Grcc10","Glyr1"
"Tmod3","4931406C07Rik"
"Gbp5","Cd14"
"Nmral1","Dhfr"
"Pf4","Aldh2"
"Hscb","Tufm"
"Apaf1","Gga1"
"mKIAA0899","Lpcat3"
"Hars2","Iars2"
"Uqcrh","Sdhb"
"Baz1a","Gng5"
"Qk","Wdr1"
"Capza2","Ccdc56"
"Grcc10","Slu7"
"Rpl4","Hspd1"
"Mrpl41","Aldh2"
"Mpp1","EF437385"
"Atp13a1","Mecp2"
"Mecp2","Cd200r1"
"Pgm3","Wdr5"
"Gak","Arg1"
"Tlr2","Ifitm3"
"Gusb","Fn3krp"
"1110037F02Rik","Fn3krp"
"Atp5j2","Fn3krp"
"Fn3krp","Palld"
"Dna2","Fn3krp"
"Fn3krp","Pgs1"
"Parp1","Adss"
"Cd44","Itgb1"
"Ifi205","Cpeb4"
"Hdac3","Hmox1"
"Hdac3","Pppde2"
"Rfc1","Rnf13"
"Arf3","Rnf13"
"Slc8a1","Rnf13"
"Apeh","Tomm34"
"Rpl8","Polr2j"
"Copg","Hist1h1d"
"Rassf4","Rhbdf2"
"Sun2","Dnmt3a"
"Cstf1","Pik3c3"
"Lin7c","Tpd52"
"Rnf213","Rasa4"
"Rnf213","Fpr2"
"Pfkp","Aoah"
"Nop58","Dazap1"
"Sash1","Igtp"
"Dnaja3","Ptgs1"
"Mki67ip","Trappc1"
"Gbp3","Cmpk2"
"Lgals3","Ddx20"
"Cbr1","Ddx20"
"Isyna1","Ddx20"
"Ddx20","Rbm34"
"Ipo4","Ak4"
"Pttg1ip","Abca12"
"Ckap4","Psmg1"
"Srp14","Qdpr"
"Lcn2","Ngp"
"Stat1","Mov10"
"Parp14","Csf2ra"
"Bcas2","Plcg2"
"Hdgfrp2","Nup205"
"Rps10","Obfc2b"
"Ltf","Os9"
"Cnot1","Ppp2r1b"
"Ppp1r9b","Sumf2"
"Ehd1","Eif2ak2"
"Becn1","Tacc1"
"Becn1","Sumf2"
"Crlf3","Nisch"
"Rheb","Mrpl38"
"Ccdc12","Dnajc8"
"Lrrc8c","Hadh"
"Gnl1","Pin1"
"Tsnax","Wdr91"
"C1qb","Ppp5c"
"KIAA0143","Myh9"
"Ppp6c","Suclg2"
"Trmt2a","Cpsf3l"
"Cpsf3l","Eif4e"
"Cpsf3l","Eif2b4"
"Cpsf3l","Fancb"
"BC002288","Zfand5"
"Atp5h","Eml2"
"Pten","Myg1"
"Luc7l2","Uso1"
"Eif3i","Uap1l1"
"Tceb3","Sgk3"
"Lrrc40","Sgk3"
"Sgk3","Scoc"
"Nlrp3","Marcksl1"
"Ifit3","Parp9"
"Acox3","Ldha"
"Man2a1","BC048355"
"Ankle2","BC048355"
"Pck2","BC048355"
"Pdxdc1","Vars"
"Rpl37a","Uqcrq"
"Sbds","Stat1"
"Polr1a","Slc25a22"
"Rpl7a","Cspg4"
"Hn1","Cspg4"
"Gnai3","Wdr77"
"Psmg1","Vdac3"
"Naa38","Mpp6"
"Pcyt2","Mif"
"mACS4","mDj11"
"Rbm22","Rps21"
"Zdhhc13","Tyms"
"Stk4","Golga3"
"Ddx24","Cpd"
"Apbb1ip","Ddx6"
"Drg1","Ywhaz"
"Hspa8","Plin3"
"Scly","2610101N10Rik"
"Slc25a3","Timm9"
"Imp4","Tpm3"
"Mtx1","Imp4"
"Sec13","Nol8"
"Atp6v1c1","Nol8"
"Nudcd2","Rpl37a"
"Col4a3bp","Vamp3"
"Eml3","9030625A04Rik"
"Ripk1","2010321M09Rik"
"Arhgap25","Fam129a"
"Snrpd1","Uchl1"
"Hsp90aa1","Eprs"
"Oasl1","Cfb"
"Glyr1","Mink1"
"Pqbp1","Hsph1"
"Stam","5430437P03Rik"
"Dlst","Hspd1"
"Hrsp12","Commd6"
"Npepl1","Ipo8"
"Lsm12","Snrpa"
"Akr1b3","Rpl36"
"Glod4","Ywhae"
"Bst2","Cyp4v3"
"Actn1","Smpdl3b"
"Eif3h","Slc35e1"
"Hmox1","Slc35e1"
"Zbtb8os","Hccs"
"Dhx58","Ifit2"
"D10Wsu52e","Exosc9"
"Cltb","Fam98b"
"Nub1","Gsk3b"
"Ifi205","Oas1g"
"Slfn5","Ddx58"
"Uqcrc2","Gba"
"Nsun2","Ldha"
"Pmm2","Ruvbl1"
"Phpt1","Eef2"
"MRP-S2","Ntan1"
"Snx27","Alkbh5"
"Acot13","Mrps22"
"Rbm33","Trappc1"
"C330006K01Rik","Aatk"
"Cox7a2","Rbm16"
"Lrrc25","Tkt"
"Fbxo6","Txndc17"
"Acot13","Tsnax"
"Rnf213","Gch1"
"Aarsd1","Crxos1"
"Ell","Crxos1"
"Crxos1","Wls"
"Marcksl1","Oas3"
"Rhoa","Uba1"
"Gnl1","Phf3"
"Chordc1","Acly"
"Cd14","Oasl1"
"Camp","Ddx42"
"Qk","Cct5"
"Lrch3","Dnaja2"
"Gtf2f2","Neu1"
"Trappc3","Stx7"
"Snrnp40","Cab39"
"BC002288","Trim30a"
"Celf1","Mki67ip"
"Mki67ip","Sfn"
"Rpl36al","Plaa"
"Supt5h","Cct5"
"Phf5a","Gtpbp1"
"Tsnax","Gm15450"
"Thbs1","mFLJ00017"
"Pmm2","Bin1"
"Dera","Sumf2"
"Pik3cb","0910001L09Rik"
"Kpna3","Cd274"
"Ankrd50","Nxt1"
"Lyz2","Idh3g"
"Med10","Fat1"
"Eef2","Vps4b"
"Arcn1","Rexo2"
"Dnajc2","Crot"
"Casp3","Pdha1"
"Stim2","Mecp2"
"Pld4","Mccc1"
"Mccc1","Dhrs7"
"Dner","Mccc1"
"Nceh1","Fn3krp"
"BC005624","Hdac3"
"6-Sep","Rpl7"
"Snx9","Utp20"
"Utp20","Fcgrt"
"Nebl","Cdk12"
"Lage3","Cdk12"
"Cdk12","2610002M06Rik"
"Cstf2","Cdk12"
"Strn3","Hnrnpul1"
"Armc10","Cnot10"
"Pip4k2b","mDEAH9"
"Phrf1","Creld2"
"Tln1","Birc6"
"Plin3","Sae1"
"Xaf1","Irg1"
"Rbm26","Sec24a"
"Cdk1","Etf1"
"Myo5b","Cept1"
"Fkbp3","Mars"
"Timm8b","Tnfrsf26"
"Malt1","Filip1l"
"Hnrnpab","Commd2"
"Hmgn5","Gphn"
"Ifitm3","Irgm2"
"Mki67","Csnk2b"
"Pgls","Nutf2"
"Glt25d1","Suclg1"
"Phgdh","Ptrh2"
"Nampt","Rpsa"
"B4galnt1","Luc7l3"
"Tyms","Upp1"
"Tyms","Gnl2"
"Tyms","Tex261"
"Def6","Supt5h"
"mKIAA0970","AK011326"
"Ybx1","Grb2"
"Ppp1r9b","Vwa5a"
"Nsdhl","Rpl7"
"Prex1","Agps"
"Cpsf3l","Vamp4"
"Strn3","Ppid"
"Chmp1a","Sf3b2"
"2010305A19Rik","Commd9"
"Ccdc115","Srgap2"
"Ifih1","Irgm2"
"Pspc1","Clpx"
"Nol6","Kri1"
"Rfc1","Nol6"
"Nol6","Dynlrb1"
"Nol6","C1qbp"
"Nol6","Prkcq"
"Nol6","Taf6"
"Tnfrsf26","Rnh1"
"Pgk1","Hspe1"
"Mki67","Nup98"
"Oasl1","Ube2l6"
"Ripk3","Zfp161"
"Cul4a","Zfp161"
"Endod1","Zfp161"
"Parp14","Parp9"
"Cand1","Mettl11a"
"Sqrdl","Nop56"
"Ndufs4","Ppib"
"Rnf213","Gm4902"
"NAAA","Ndufa10"
"Nfkb2","Txnrd1"
"Ilf2","Mthfd1l"
"Baz1b","Rasa3"
"Glud1","Ap1m1"
"Eif2s3x","Ubqln1"
"Rfk","Sh3bp1"
"Plin3","Eno1"
"Ifi35","Rel"
"Thoc2","Fis1"
"Edf1","Srgap2"
"Ftsjd2","Fau"
"Gapvd1","Kcnab2"
"Ppt1","Taldo1"
"Ugp2","Hspe1"
"Snx1","Acss2"
"Smap2","Acot7"
"Fam172a","Huwe1"
"Tcea1","Cdc16"
"Selenbp1","Ethe1"
"Ap3b1","Bcat2"
"Snrpa","Rpl23a"
"Mdp1","Mecr"
"Qk","Chmp1b"
"Tmed10","Exoc7"
"Praf2","Dffa"
"Chaf1a","Dffa"
"Dffa","Npm3"
"Plod3","Adap2"
"Hspbp1","Abcf3"
"Arrb1","Rpl9"
"Rpia","Anxa7"
"Lsm5","Arfgap1"
"Edc4","Sqrdl"
"Idh3b","Cox5b"
"Bud31","Akap13"
"Ppp2r5a","Nubp2"
"Fabp4","Naglu"
"mFLJ00294","Rhbdf2"
"Dcxr","Pygl"
"Lsm5","Gusb"
"Akt1","Bcas2"
"Pnp","Csde1"
"Hsd17b12","Rab35"
"Lpcat3","Kynu"
"Eif3i","Snx4"
"Gusb","Rpl26"
"2410002O22Rik","Klraq1"
"Nsdhl","Tagln2"
"Nkapl","Nudt4"
"Usp47","Arap1"
"Pml","Pikfyve"
"Pcmt1","Fdps"
"Smarcb1","Scaf1"
"Nmral1","Rbx1"
"Ppp1r9b","Stat6"
"Gosr1","Ctsa"
"Acat1","Vps39"
"Ptgs2","Serpinb2"
"Ccdc86","Myd88"
"Wdr91","Zcchc8"
"Prkar2b","Gmppb"
"Eml3","Serpinb1a"
"Sgpl1","Inpp5d"
"Emb","S100a4"
"Ccdc86","Mov10"
"Strap","Sdha"
"Kpna3","Psme2"
"Abcf1","Mcm6"
"Ddost","Pfdn1"
"Ifit1","Zfand5"
"Trappc3","Fam192a"
"Hmbs","Plcb2"
"Sash1","Cmpk2"
"Tbc1d13","AI314180"
"Aldh3a2","Ndufa4"
"Sirt2","Ndufa4"
"Trim34","Ndufa4"
"Endog","Ly6g"
"Ccdc124","Ly6g"
"C3","Trim25"
"Frmd8","Dhx16"
"Ppt1","Rpl7a"
"Aldh18a1","Hspa9"
"Dennd4b","Wdr77"
"Aak1","Sep2"
"Pnp","Ifih1"
"Arcn1","Parp1"
"Tollip","Hspe1"
"Lrrc25","Cars"
"Snrnp27","Gm9790"
"Stat1","Casp7"
"Becn1","Dhx38"
"Diws1t","Nans"
"Tor1aip1","Rps3"
"Mfap1b","Dctn4"
"Bub3","Srrm1"
"Src","Pfkp"
"Mobkl1a","Ccdc86"
"Sbds","Rps28"
"Btk","Vps26a"
"Akt1","Hist2h2bb"
"Tlr2","Trex1"
"Kbp","Epx"
"Sms","Brsk1"
"Plaa","Akr7a5"
"Atp5l","Ckap4"
"Sdcbp","Phrf1"
"Uap1l1","Aldh3b1"
"Psmc4","Acat1"
"Selenbp1","Hadha"
"Uba3","Hist2h2bb"
"AK008288","mKIAA0136"
"Map4k1","AI314976"
"Trim23","AI314976"
"Arf3","AI314976"
"Ece2","AI314976"
"Cpsf7","Aldh3a2"
"pub","Ube2v1"
"Dtnbp1","Plk1"
"2310045N01Rik","Nup88"
"Pqbp1","Eif3g"
"Ccdc124","Dctn4"
"Aak1","Smc2"
"Igbp1","Gmppb"
"Slc9a3r1","Slc30a5"
"Slc30a5","Melk"
"Slc30a5","Cspg4"
"Nkap","Slc30a5"
"Ppp2r1b","Ufsp2"
"Thumpd1","Mapk1"
"Ifit1","Parp12"
"Cstf1","Cd68"
"Pbrm1","Mocs1"
"Sema4a","Lrrc8d"
"Lrrc8d","Immt"
"Arhgap25","Gnb1"
"Rars","Drg1"
"Vps37c","Dynlrb1"
"Slc25a3","Ndufb8"
"Dnaja1","Dpysl2"
"Rab8B","Ywhag"
"Ifi47","Fth1"
"Il1b","Zfand5"
"Uevld","Myo5b"
"Mgst1","Nol6"
"Alox5ap","1810006K21Rik"
"Mvk","Qtrt1"
"Actn1","Nub1"
"Hbs1l","Sdf4"
"Sdf4","Hira"
"Mobkl1a","mACS4"
"Phrf1","Setdb1"
"Hpse","Trappc1"
"Rps11","Aldh3b1"
"Ifit2","Hp"
"Idh1","Phf5a"
"Skiv2l","Arfgef2"
"Trex1","Filip1l"
"Rsad2","Cpd"
"6-Sep","Ppt1"
"Csnk2a1","Ado"
"Nhlrc2","Xpo1"
"Abcf1","6720456B07Rik"
"Gusb","Atp1b3"
"Prosc","Glud1"
"Scp2","Psma2"
"Stam2","Mpst"
"Lgals3bp","Ywhag"
"Aldoc","Psmc1"
"Dffa","Cyp4f18"
"Irgm1","mFLJ00294"
"0610010K14Rik","D15Ertd621e"
"Sec61a2","Prps2"
"Plin2","Hdh"
"Sec24b","Rap2b"
"Gsr","Smap2"
"Hmgb2","Thop1"
"Cnpy4","1300010F03Rik"
"Eef1b2","Ppp1r8"
"Atp5b","Pfdn1"
"Hmbs","Tmx3"
"Lars","Trappc2"
"Rps13","Hspbp1"
"Rbm47","Rpl15"
"Uba1","Mtap1s"
"Tank","Igsf6"
"Rpl23","Fkbp2"
"Trim56","Cbfb"
"Prkar1a","mKIAA4155"
"Arl6ip4","2310003F16Rik"
"Ragd","AK157914"
"Akap8l","Itsn1"
"Mtch1","Epn1"
"Mtch1","1810014F10Rik"
"Mtch1","Hist1h2bl"
"Mtch1","Hnrpll"
"Syk","Arl6ip1"
"Glyr1","Rasa3"
"Ddx21","Actl6a"
"Arpc4","Rap2b"
"Bub3","Smu1"
"Ube2l3","Map2k2"
"Cd40","Oasl1"
"Pon2","Rrs1"
"Sfpq","Tollip"
"Cops8","Ptgr1"
"2310014H01Rik","Eif1ad"
"Eif1ad","Dock6"
"Cdk12","Eif1ad"
"Eif1ad","Cdk13"
"Fpr2","Isg15"
"Glt25d1","Tnfrsf26"
"Ngp","Pdcl"
"Tppp3","Hspe1"
"Irg1","Ifitm3"
"Tuba1c","Sh3glb2"
"Wdr7","Hspe1"
"Ssb","Celf1"
"Rufy3","Sp140"
"Aak1","Vps26a"
"Rbm34","Fgr"
"Hprt","Kynu"
"Ilf3","Ppa2"
"Thumpd1","Aimp1"
"Commd3","Glud1"
"Spnb2","Sgpl1"
"Apaf1","S100a13"
"BC005624","H2-M2"
"Plcb2","2400003C14Rik"
"Blvrb","Nars"
"Mat2a","Naa50"
"Ttc37","Ptms"
"Mt2","Armc6"
"Gsdmd","Phf5a"
"Cox4i1","Idh1"
"Gosr1","Sh3tc1"
"Bloc1s2","Sh3tc1"
"Trnt1","Tomm70a"
"E430025E21Rik","mKIAA0891"
"Mrpl15","Rab6"
"Ndufb3","S100a10"
"Pgm3","Nqo1"
"2500003M10Rik","Sgpl1"
"Prpf4b","Atp5e"
"Pdap1","Cdk13"
"Zfp161","Cdk13"
"Slc8a1","Cdk13"
"Bst2","Oas3"
"Sepsecs","Ankib1"
"Sp2","Ankib1"
"Ankib1","Gabbr1"
"Hspbp1","Sympk"
"Parp9","Flnb"
"Sarnp","Zfp330"
"Cd38","Cyfip1"
"Serpinb2","Trex1"
"Nufip2","Thumpd1"
"Baz1b","Prpf6"
"Akr7a5","Sf3a1"
"Uba5","Kynu"
"Cog2","Nucb2"
"Rexo2","Atp5a1"
"Ilf2","Cd68"
"Degs1","Pycrl"
"Kynu","Sdha"
"Hmha1","Rpl7"
"Cnn2","Stat6"
"Alkbh7","H2afz"
"Cpsf7","Alkbh7"
"Alkbh7","Gng12"
"Alkbh7","Rdh11"
"Alkbh7","Pgrmc1"
"Alkbh7","Mmgt1"
"Ttc1","Zmynd8"
"Galnt7","Zmynd8"
"Irg1","C5ar1"
"Eif2a","Ppp1r9b"
"Nsfl1c","Zcchc8"
"Cog4","Wdfy2"
"Vps4b","Lars"
"Slmap","Taf15"
"Aldh2","Pgam1"
"Os9","Ptpn18"
"App","Trmt6"
"Diap1","Trmt6"
"Napsa","Tnpo1"
"Yy1","Pdlim2"
"H2-Ke2","Stat5b"
"Znfx1","Zeb2"
"mFLJ00294","Gtf2b"
"Nup153","Rrbp1"
"Wnk2","Tgfbr1"
"Ube2l3","Srsf2"
"Fam129b","Casp1"
"Mpo","Rab6"
"NAAA","1810006K21Rik"
"mACS4","Limd2"
"Ripk3","B230208H17Rik"
"Gtf2f1","B230208H17Rik"
"Iqgap1","B230208H17Rik"
"Psma4","B230208H17Rik"
"Reep3","B230208H17Rik"
"Arcn1","Tbcd"
"Chmp4b","Snrpa"
"Cdv3","Lpxn"
"Mki67","Srp72"
"Cggbp1","Fscn1"
"E430025E21Rik","Lipe"
"Mitf","Pgcp"
"Pgrmc2","Pgcp"
"IIGP","Wdfy3"
"mKIAA0887","Nomo1"
"Mfap1b","Rftn1"
"Ubxn6","Snx4"
"Rfc1","Nt5c"
"F8a","Rab24"
"Dctn3","Hnrnpa3"
"Rexo2","Ppil1"
"Mcm3","Pfdn5"
"Ifit1","Marcksl1"
"Uba2","Tardbp"
"Tor1aip1","AK157941"
"Nmral1","Hpse"
"Ptpre","Eif3c"
"Naa50","Srsf6"
"Rps28","Il1rn"
"Lcp1","Tifa"
"Fgfr1op2","Tifa"
"Tifa","1700018B24Rik"
"Tifa","Cd151"
"Ranbp9","Pfas"
"Tmem168","Osbpl8"
"Tmem168","U2af2"
"Vps29","Cbr4"
"Def6","Cbr4"
"Vasp","Prpf18"
"Bmp2k","Prpf18"
"2700029M09Rik","Prpf18"
"Psmc4","Rpl7"
"Hmga1","Cog5"
"Kif1b","Mki67ip"
"Gtf2e1","Acly"
"AK171687","Arhgef2"
"Pip4k2b","Rasal3"
"Tollip","Pabpn1"
"Wdr7","Mta2"
"Rad21","Pdia4"
"Gabpb1","Osbpl8"
"Fth1","Tgfb1"
"Sf3a1","Klraq1"
"Pnp","Mcat"
"Anp32a","Birc6"
"Rplp2","Sep11"
"Lypla2","S100a10"
"Sh3glb1","Hspa8"
"Caprin1","Ints8"
"Golim4","Ints8"
"Ints8","Sh3bp2"
"Anxa5","Uap1"
"Arid1a","Cacybp"
"Grpel1","Pacsin2"
"Thbs1","Zmiz1"
"Mtch1","Med22"
"Uba5","Vps39"
"Ep300","Pip4k2b"
"Ddi2","Tollip"
"Rpl24","Thoc2"
"Glipr2","Rexo2"
"Nxt1","Zfyve26"
"Uba5","Sdha"
